브랜드,SKU ID,SKU 명,등록가,pid,iid,vid,url,플래그,메모
윰,10339771,윰스 로즈쿼츠세레니티 디지털 숫자풍선 숫자1 2개,,,,,https://www.coupang.com/vp/products/227449537?itemId=720523911&vendorItemId=4823117128,1개 번들 중단,
윰,10339772,윰스 로즈쿼츠세레니티 디지털 숫자풍선 숫자2 2개,,,,,https://www.coupang.com/vp/products/227449537?itemId=720523918&vendorItemId=4823117170,1개 번들 중단,
윰,10339773,윰스 로즈쿼츠세레니티 디지털 숫자풍선 숫자3 2개,,,,,https://www.coupang.com/vp/products/227449537?itemId=720523933&vendorItemId=4823117193,1개 번들 중단,
윰,10339777,윰스 로즈쿼츠세레니티 디지털 숫자풍선 숫자5 2개,,,,,https://www.coupang.com/vp/products/227449537?itemId=720523951&vendorItemId=4823117252,1개 번들 중단,
윰,10339786,윰스 로즈쿼츠세레니티 디지털 숫자풍선 숫자8 2개,,,,,https://www.coupang.com/vp/products/227449537?itemId=720523989&vendorItemId=4823117364,1개 번들 중단,
윰,10339788,윰스 로즈쿼츠세레니티 디지털 숫자풍선 숫자9 2개,,,,,https://www.coupang.com/vp/products/227449537?itemId=720524004&vendorItemId=4823117396,1개 번들 중단,
윰,34626491,윰스 생일파티 공주 왕관 티아라 + 어깨띠 스트랩 실버 1세트,,,,,https://www.coupang.com/vp/products/7251630167?itemId=18447831163&vendorItemId=85588699655,1개 번들 중단,
윰,34626496,윰스 생일파티 스마일 플라워 고깔 + 선글라스 핑크 2세트,,,,,https://www.coupang.com/vp/products/7251630148?itemId=18447831099&vendorItemId=85588699625,1개 번들 중단,
윰,34626498,윰스 생일파티 공주 왕관 티아라 + 어깨띠 스트랩 골드 1세트,,,,,https://www.coupang.com/vp/products/7251630167?itemId=18447831164&vendorItemId=85588699665,1개 번들 중단,
윰,34626502,윰스 생일파티 공주 왕관 티아라 + 어깨띠 스트랩 로즈 1세트,,,,,https://www.coupang.com/vp/products/7251630167?itemId=18447831165&vendorItemId=85588699677,1개 번들 중단,
윰,34675845,윰스 생일 축하한다룡 공룡 풍선 2종 1세트,,,,,https://www.coupang.com/vp/products/7257356584?itemId=18476364249&vendorItemId=85616293113,1개 번들 중단,
